"編號",資料名稱,資料來源,更新頻率,檔案格式,主要欄位,資料連結網址,分類及編號,資料集描述,主要欄位說明,資料集類型,資源格式,最後更新時間,資料集提供機關,資料量,收錄期間(起),收錄期間(迄),授權方式,計費方式,計費說明網址,計費法令依據,資料集說明網址,編碼格式,標籤/關鍵字,建立日期,資料集提供機關聯絡人,資料集提供機關電話,資料集提供機關聯絡人電子郵件,備註
832,桃園市政府都市發展局職員異動資料統計報表,380360000G 【都市發展局】,不定期,CSV,合計(合計)、小計1(小計1)、辭職(辭職)、免徹職(免徹職)、解僱(解僱)、退休職(退休職)、資遣(資遣)、死亡(死亡)、其他1(其他1)、小計2(小計2)、本機關調動(本機關調動)、調進(調進)、調出(調出)、小計3(小計3)、考試分發(考試分發)、其他原因進用(其他原因進用)、小計4(小計4)、出國進修(出國進修)、因案停職(因案停職)、留職停薪(留職停薪)、應征入伍(應征入伍)、復職(復職)、待命(待命)、其他2(其他2)、備註(備註),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=8ff84430-7c73-4115-8124-63d84b5f0293,公共資訊 (948),桃園市政府都市發展局職員異動資料統計報表,合計(合計)、小計1(小計1)、辭職(辭職)、免徹職(免徹職)、解僱(解僱)、退休職(退休職)、資遣(資遣)、死亡(死亡)、其他1(其他1)、小計2(小計2)、本機關調動(本機關調動)、調進(調進)、調出(調出)、小計3(小計3)、考試分發(考試分發)、其他原因進用(其他原因進用)、小計4(小計4)、出國進修(出國進修)、因案停職(因案停職)、留職停薪(留職停薪)、應征入伍(應征入伍)、復職(復職)、待命(待命)、其他2(其他2)、備註(備註),原始資料,CSV,2018-03-21 10:48:48,380360000G 【都市發展局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""職員異動, 都發局""",2016-01-20 05:17:25,蔡先生,03-3322101#5780,10007260@mail.tycg.gov.tw,
833,空品淨化區資訊,380150000I 【環境保護局】,每年,CSV,維護管理(維護管理)、公園名稱(公園名稱)、座落位置地址(座落位置地址)、核定面積(核定面積),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=901977f2-1233-433f-b3ff-8ff3c6851c64,生活安全及品質 (144),本市各區共30處空氣品質淨化區所在位置,維護管理(維護管理)、公園名稱(公園名稱)、座落位置地址(座落位置地址)、核定面積(核定面積),原始資料,CSV,2018-03-21 16:30:41,380150000I 【環境保護局】,,,,政府資料開放授權條款－第1版,,,,,Big5,"""環保公園, 生活安全及品質, 環保局, 淨化區""",2015-12-24 08:37:40,周小姐,3386021分機1243,hua@tydep.gov.tw,核定面積:公里
834,桃園市住宿資料(中),380300000H 【觀光旅遊局】,即時,JSON,InfoId(序號)、TYWebsite(導覽網網址)、Name(名稱)、Toldescribe(簡述)、Add(地址)、Zipcode(郵遞區號)、Travellinginfo(交通資訊)、Opentime(開放時間)、Px(X座標)、Py(Y座標)、Website(網站)、Parkinginfo(停車資訊)、Remarks(旅遊叮嚀)、Tel(電話)、Fax(傳真)、Changetime(更新時間)、Charge(定價),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=908d67d9-eb77-4f17-88c2-068b2dd74d27,休閒旅遊 (72),提供本市住宿之觀光資訊，內容包含合法觀光飯店、商務旅館、汽車旅館、民宿名稱、電話、地址、X座標、Y座標等資料。,InfoId(序號)、TYWebsite(導覽網網址)、Name(名稱)、Toldescribe(簡述)、Add(地址)、Zipcode(郵遞區號)、Travellinginfo(交通資訊)、Opentime(開放時間)、Px(X座標)、Py(Y座標)、Website(網站)、Parkinginfo(停車資訊)、Remarks(旅遊叮嚀)、Tel(電話)、Fax(傳真)、Changetime(更新時間)、Charge(定價),原始資料,JSON,2018-07-07 02:13:41,380300000H 【觀光旅遊局】,132,,,政府資料開放授權條款－第1版,,,,http://travel.tycg.gov.tw/zh-tw/Accommodation/List,UTF-8,"""住宿, 觀光, 休閒旅遊, 觀旅局""",2015-10-19 08:24:02,徐小姐,03-3322101#6209,151026@mail.tycg.gov.tw,
835,104年桃園市土地公告現值及公告地價,380160000A 【地政局】,每年,CSV,市(桃園市)、行政區(行政區名稱)、段小段(段名稱)、地號(地號)、當期公告現值(元/平方公尺)(元/平方公尺)、公告地價(元/平方公尺)(元/平方公尺),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=91005cb6-a77c-4eb0-b26e-a9711ec1a2a4,購屋及遷徒 (195),桃園市各地號之104年公告現值及公告地價資料,市(桃園市)、行政區(行政區名稱)、段小段(段名稱)、地號(地號)、當期公告現值(元/平方公尺)(元/平方公尺)、公告地價(元/平方公尺)(元/平方公尺),原始資料,CSV,2018-03-14 09:02:30,380160000A 【地政局】,40500,2015/1/1,2015/12/31,政府資料開放授權條款－第1版,,,,,UTF-8,"""地政局, 104年, 購屋及遷徒, 公告地價""",2015-10-08 00:50:32,王先生,03-3322101分機5352,10029563@mail.tycg.gov.tw,
836,附屬單位預算作業基金餘絀撥補綜計表(依撥補項目分列),380200000A 【主計處】,每年,CSV,項目1(項目1)、項目2(項目2)、本年度預算數_金額(本年度預算數_金額)、本年度預算數_百分比(本年度預算數_百分比)、上年度預算數_金額(上年度預算數_金額)、上年度預算數_百分比(上年度預算數_百分比)、比較增減_金額(比較增減_金額)、比較增減_百分比(比較增減_百分比),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=9142ba3c-1bd0-4eae-869c-a20d4d09bd05,公共資訊 (948),附屬單位預算作業基金餘絀撥補綜計表(依撥補項目分列),項目1(項目1)、項目2(項目2)、本年度預算數_金額(本年度預算數_金額)、本年度預算數_百分比(本年度預算數_百分比)、上年度預算數_金額(上年度預算數_金額)、上年度預算數_百分比(上年度預算數_百分比)、比較增減_金額(比較增減_金額)、比較增減_百分比(比較增減_百分比),原始資料,CSV,2018-03-21 15:06:15,380200000A 【主計處】,,,,政府資料開放授權條款－第1版,,,,,Big5,附屬單位預算作業基金餘絀撥補綜計表,2017-06-20 11:42:49,曾先生,03-3322101#5593,10013928@mail.tycg.gov.tw,
837,桃園市政府地方稅務局員工人數,380260000D 【地方稅務局】,不定期,CSV,項目(依年齡，學歷，職等，年資)(項目)、總計101年底(總計101年底)、男101年底(男101年底)、女101年底(女101年底)、總計102年底(總計102年底)、男102年底(男102年底)、女102年底(女102年底)、總計103年底(總計103年底)、男103年底(男103年底)、女103年底(女103年底)、總計104年底(總計104年底)、男104年底(男104年底)、女104年底(女104年底),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=91625c1b-eafa-4b0b-8727-33c9af9bced4,公共資訊 (948),桃園市政府地方稅務局員工人數,項目(依年齡，學歷，職等，年資)(項目)、總計101年底(總計101年底)、男101年底(男101年底)、女101年底(女101年底)、總計102年底(總計102年底)、男102年底(男102年底)、女102年底(女102年底)、總計103年底(總計103年底)、男103年底(男103年底)、女103年底(女103年底)、總計104年底(總計104年底)、男104年底(男104年底)、女104年底(女104年底),原始資料,CSV,2018-04-11 11:59:56,380260000D 【地方稅務局】,40,2012-01-01,2015-12-31,政府資料開放授權條款－第1版,,,,,UTF-8,員工人數,2016-02-22 01:58:03,林小姐,03-3326181分機2311,rec9@tytax.gov.tw,
838,106年7月直轄市稅捐徵收(按稅目)比較表,380260000D 【地方稅務局】,不定期,CSV,稅目(稅目)、台北市(台北市)、新北市(新北市)、桃園市(桃園市)、台中市(台中市)、台南市(台南市)、高雄市(高雄市)、其他縣市(其他縣市)、總計(總計),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=919bb9f9-4275-48f2-9f13-637d39e25e5d,公共資訊 (948),106年7月直轄市稅捐徵收(按稅目)比較表,稅目(稅目)、台北市(台北市)、新北市(新北市)、桃園市(桃園市)、台中市(台中市)、台南市(台南市)、高雄市(高雄市)、其他縣市(其他縣市)、總計(總計),原始資料,CSV,2018-01-12 15:07:41,380260000D 【地方稅務局】,13,2017-07-01,2017-07-31,政府資料開放授權條款－第1版,,,,,UTF-8,"""直轄市, 稅捐徵收""",2018-01-12 15:02:28,陳小姐,03-3326181分機2230,ttod@tytax.gov.tw,
839,104、105年桃園之美藝術家名單,380330000E 【文化局】,不定期,CSV,姓名(105年桃園之美收錄藝術家名單)、類別(105年桃園市藝術家普查),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=91dbe4e6-15cc-47da-82c9-987f794218aa,公共資訊 (948),104、105年桃園之美藝術家名單,姓名(105年桃園之美收錄藝術家名單)、類別(105年桃園市藝術家普查),原始資料,CSV,2018-03-19 13:11:28,380330000E 【文化局】,,,,政府資料開放授權條款－第1版,,,,,"""UTF-8, Big5""","""桃園之美, 桃園藝術家""",2017-07-31 14:31:26,柯小姐,03-3322592分機8530,10019801@mail.tycg.gov.tw,
840,桃園市急救責任醫院,380140000I 【衛生局】,不定期,CSV,等級(等級)、醫院名稱(醫院名稱)、地址(地址)、電話(電話),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=91eec88d-a784-46d6-82c9-9dd846edc9f6,就醫 (57),桃園市急救責任醫院,等級(等級)、醫院名稱(醫院名稱)、地址(地址)、電話(電話),原始資料,CSV,2018-04-10 14:20:17,380140000I 【衛生局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""急救, 就醫, 衛生局""",2015-12-24 06:47:51,洪小姐,33400935 #2326,tyhchi0826@tychb.gov.tw,
841,桃園市青年創業貸款創業輔導課程費用補貼計畫,380420000A 【青年事務局】,每年,PDF,"""機關名稱：桃園市政府青年事務局
地址：桃園市中壢區環北路390號
電話：(03)4225205
""",https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=92561a29-2f6b-4374-abd7-aae7e7f9efd7,開創事業 (10),桃園市政府為協助青年取得相關創業貸款申請資格條件，需為受過政府機關認可之單位開辦創業輔導課程至少20小時或取得2學分證明，特訂定本計畫。,"""機關名稱：桃園市政府青年事務局
地址：桃園市中壢區環北路390號
電話：(03)4225205
""",原始資料,PDF,2017-05-11 14:31:19,380420000A 【青年事務局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,,2017-05-01 16:37:35,黃士純,(03)4225205#3003,10017355@mail.tycg.gov.tw,
842,桃園航空城計畫機場園區第3場預備聽證會議實錄,380160000A 【地政局】,不定期,URL,桃園航空城計畫機場園區第3場預備聽證會議實錄,https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=92566bf8-4e8b-4d03-9b01-7d60cf05a99e,公共資訊 (948),"""擬定桃園國際機場園區及附近地區特定區計畫於103年7月29日經內政部都市計畫委員會第832次會議審定，都市計畫面積為4,687公頃，區段徵收面積為3,155公頃。機場園區為一期開發，開發面積為1,481公頃，由交通部民用航空局辦理，附近地區分為二期開發，開發面積分別為1,160公頃及514公頃，由桃園市政府辦理，其中附近地區第一期於都市計畫審議通過後，即可進行區段徵收相關前置作業，附近地區第二期則需俟第一期之產業招商權責發生率達60％以上始得啟動。 本計畫依據土地徵收條例第10條及其施行細則第11條之1規定，於行政院核定重大建設之徵收範圍內有特定農業區農牧用地土地者，需用土地人需先徵詢地主，如地主對該土地納入徵收之必要性提出異議，經中央目的事業主管機關說明後仍有異議時，依規定由交通部(中央目的事業主管機關)舉辦聽證，本案聽證程序相關庶務工作由交通部民航局與市政府負責。 為使聽證順利進行，本次聽證分為二階段，第一階段為預備聽證，主要目的為釐清聽證爭議點及議定聽證程序；第二階段為正式聽證，就預備聽證所歸納之爭議點作為議題，舉辦聽證時，當事人得陳述意見、提出證據、經主持人同意後得對機關指定人員、其他當事人或代理人等發問，以釐清事實真相，並作成聽證紀錄。 交通部業於104年10月3日至11月15日舉辦機場園區及附近地區(第一期)預備聽證會議，共計24場，參與民眾約5,000人次，實際發言約435人次，各場次依現場民眾陳述意見情形均詳實記錄，並作成預備聽證會議實錄。 
本場次為104年10月17日(六)機場園區第3場次會議實錄，主持人為白仁德副教授，舉辦地點為大園國中。""",桃園航空城計畫機場園區第3場預備聽證會議實錄,原始資料,URL,2016-02-23 07:57:05,380160000A 【地政局】,1,2015-10-17,2015-10-17,政府資料開放授權條款－第1版,,,,,,"""會議實錄, 航空城, 預備聽證""",2016-02-23 07:49:41,李小姐,(03)3322101分機5315-5318,127175@mail.tycg.gov.tw,
843,桃園市公寓大廈管理委員會清冊(楊梅區),380360000G 【都市發展局】,不定期,CSV,序號(序號)、管理委員會(管理委員會)、建築物地址(建築物地址),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=925b54ec-8e25-4dd3-b53d-a5381a2549bf,公共資訊 (948),桃園市公寓大廈管理委員會清冊(楊梅區),序號(序號)、管理委員會(管理委員會)、建築物地址(建築物地址),原始資料,CSV,2018-03-26 16:29:17,380360000G 【都市發展局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""楊梅, 管委會, 都發局""",2016-04-15 10:50:07,蔡先生,03-3322101#5780,10007260@mail.tycg.gov.tw,
844,桃園市政府都市發展局職員年齡統計報表,380360000G 【都市發展局】,不定期,CSV,"""合計	二十九以下	三十至三十九	四十至四十九	五十至五十九	六十至六十五	六十六以上	平均年齡	備註
""",https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=926156a0-5ec4-4695-9504-15e1fbe707e8,公共資訊 (948),桃園市政府都市發展局職員年齡統計報表,"""合計	二十九以下	三十至三十九	四十至四十九	五十至五十九	六十至六十五	六十六以上	平均年齡	備註
""",原始資料,CSV,2016-01-27 08:21:00,380360000G 【都市發展局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""年齡, 都發局""",2016-01-20 05:11:32,蔡先生,03-3322101#5780,10007260@mail.tycg.gov.tw,
845,桃園市各都市計畫-人口數與人口成長率彙整表,380360000G 【都市發展局】,不定期,CSV,編號(編號)、都市計畫名稱(都市計畫名稱)、現況人口97年(現況人口97年)、現況人口98年(現況人口98年)、現況人口99年(現況人口99年)、現況人口100年(現況人口100年)、現況人口101年(現況人口101年)、現況人口102年(現況人口102年)、人口成長率(人口成長率),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=92827b22-45f0-433e-bf69-3924a994083c,公共資訊 (948),桃園市各都市計畫-人口數與人口成長率彙整表,編號(編號)、都市計畫名稱(都市計畫名稱)、現況人口97年(現況人口97年)、現況人口98年(現況人口98年)、現況人口99年(現況人口99年)、現況人口100年(現況人口100年)、現況人口101年(現況人口101年)、現況人口102年(現況人口102年)、人口成長率(人口成長率),原始資料,CSV,2018-03-26 16:36:43,380360000G 【都市發展局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""人口成長率, 都發局""",2016-02-19 08:43:47,蔡先生,03-3322101#5780,10007260@mail.tycg.gov.tw,
